[FREDDOSO_MISSING] I.q117 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q118 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q119 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q1 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q2 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q3 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q4 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q5 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q6 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q7 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q8 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q9 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q10 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q11 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q12 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q13 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q14 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q15 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q16 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q17 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q18 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q19 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q20 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q21 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q22 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q23 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q24 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q25 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q26 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q27 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q28 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q29 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q30 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q31 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q32 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q33 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q34 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q35 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q36 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q37 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q38 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q39 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q40 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q41 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q42 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q43 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q44 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q45 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q46 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q47 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q48 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q49 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q50 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q51 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q52 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q53 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q54 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q55 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q56 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q57 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q58 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q59 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q60 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q61 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q62 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q63 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q64 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q65 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q66 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q67 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q68 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q69 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q70 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q71 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q72 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q73 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q74 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q75 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q76 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q77 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] III.q78 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q1 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q2 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q3 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q4 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q5 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q6 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q7 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q8 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q9 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q10 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q11 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q12 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q13 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q14 listed in coverage_gaps.json but file not found; fell back to Dominican
